_id,INTERVENTION_TYPE,LICENCE_NUMBER,OPERATOR_NAME,BUSINESS_ADDRESS,PROPOSED_STREET_LOCATION,WARD_NAME,BIA_NAME,STREET_NAME_SHORTENED,MUNICIPAL_ADDRESS,CATEGORY,CONDITIONS,geometry
1,Sidewalk Caf̩,R57-2104056,STARBUCKS COFFEE 4254,3252 YONGE ST,None,EGLINTON-LAWRENCE,None,YONGE ST,3252 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40372707, 43.729805682334]], ""type"": ""MultiPoint""}"
2,Sidewalk Caf̩,R57-2138655,HUNGARY THAI BAR AND EATERY,196 AUGUSTA AVE,None,UNIVERSITY-ROSEDALE,None,AUGUSTA AVE,196 AUGUSTA AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40219334, 43.65428656]], ""type"": ""MultiPoint""}"
3,Sidewalk Caf̩,R57-2148204,None,660 COLLEGE ST,None,UNIVERSITY-ROSEDALE,None,COLLEGE ST,660 COLLEGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.41652213, 43.655266637379]], ""type"": ""MultiPoint""}"
4,Sidewalk Caf̩,R57-2168537,PIZZA NOVA,3205 YONGE ST,None,DON VALLEY WEST,None,YONGE ST,3205 YONGE ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.40270935, 43.7280111261944]], ""type"": ""MultiPoint""}"
5,Sidewalk Caf̩,R57-2176309,SOPHIE'S SPORTS BAR,466 COSBURN AVE,None,TORONTO-DANFORTH,None,COSBURN AVE,466 COSBURN AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.3344583, 43.692999144447]], ""type"": ""MultiPoint""}"
6,Sidewalk Caf̩,R57-2176353,THE WALLY TAP AND GRILL,302 O'CONNOR DR,None,TORONTO-DANFORTH,None,O'CONNOR DR,302 O'CONNOR DR,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34335616, 43.6948163799203]], ""type"": ""MultiPoint""}"
7,Sidewalk Caf̩,R57-2187579,EAST YORK RESTAURANT,1039 PAPE AVE,None,TORONTO-DANFORTH,None,PAPE AVE,1039 PAPE AVE,SIDEWALK CAFE,None,"{""coordinates"": [[-79.34845624, 43.688999147785]], ""type"": ""MultiPoint""}"
8,Sidewalk Caf̩,R57-2196212,GABBY'S KING STREET WEST,309 KING ST W,None,SPADINA-FORT YORK,None,KING ST W,309 KING ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.39044966, 43.6462400873491]], ""type"": ""MultiPoint""}"
9,Sidewalk Caf̩,R57-2205559,THE PILOT,22 CUMBERLAND ST,None,UNIVERSITY-ROSEDALE,None,CUMBERLAND ST,22 CUMBERLAND ST,SIDEWALK CAFE,None,"{""coordinates"": [[-79.38836116, 43.6710449972197]], ""type"": ""MultiPoint""}"
10,Sidewalk Caf̩,R57-2241646,THE SWAN & FIRKIN,2205 BLOOR ST W,None,PARKDALE-HIGH PARK,None,BLOOR ST W,2205 BLOOR ST W,SIDEWALK CAFE,None,"{""coordinates"": [[-79.47571969, 43.6510827406755]], ""type"": ""MultiPoint""}"
